Party	handicapped_infants	water_project_cost_sharing	adoption_of_the_budget_resolution	physician_fee_freeze	el_salvador_aid	religious_groups_in_schools	nti_satellite_test_ban	aid_to_nicaraguan_contras	mx_missile	immigration	synfuels_corporation_cutback	education_spending	superfund_right_to_sue	crime	duty_free_exports	export_administration_act_sa
democrat	y	y	y	y	y	y	n	n	n	n	y	y	y	y	n	y
democrat	y	y	n	n	y	y	n	n	n	n	y	y	y	y	y	n
democrat	n	w	y	n	y	y	n	y	n	n	y	n	n	n	n	w
democrat	y	y	y	n	y	y	n	y	y	n	y	n	n	y	n	w
democrat	n	y	y	y	y	y	n	n	n	n	n	y	y	y	n	w
democrat	y	n	y	n	n	n	y	y	y	w	y	n	n	n	y	w
democrat	w	w	n	n	w	y	w	n	n	n	y	y	n	y	n	w
democrat	y	y	n	n	n	n	n	y	y	n	y	n	n	n	y	n
republican	y	y	n	y	y	y	n	n	n	n	y	y	y	y	n	y
republican	w	w	w	w	n	y	n	y	y	n	n	y	y	n	n	w
democrat	y	y	w	w	w	y	n	n	n	n	y	n	y	n	n	y
democrat	y	y	y	w	n	n	n	y	n	n	y	w	n	n	y	y
democrat	y	y	y	n	y	y	n	y	n	n	y	n	y	n	y	y
democrat	y	y	n	n	y	w	n	n	n	n	y	n	y	y	n	y
democrat	n	y	y	n	y	y	n	y	n	n	n	n	n	n	n	y
republican	n	y	n	y	w	y	n	n	n	y	n	y	y	y	n	n
republican	n	y	n	y	y	y	n	w	n	n	w	w	w	y	n	w
republican	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n
republican	w	n	y	y	n	y	y	y	y	y	n	y	n	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	w	y	n	n
republican	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	n	y	n	y	y	n	n	y	y	n	n	y	y	n	y
democrat	n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	n
democrat	y	n	y	n	n	y	y	y	y	n	n	y	w	y	y	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	y
democrat	y	n	y	n	n	y	y	y	y	y	y	n	n	n	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	y	y	y	y	y	y	y	y	n	y	w	w	w	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y
democrat	n	y	y	n	n	y	y	y	w	y	n	n	n	n	n	y
republican	y	y	n	y	y	y	n	n	n	y	n	n	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	y	y	n	y	n	n	y
democrat	y	y	y	n	n	n	y	y	n	y	n	n	n	n	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y
republican	y	y	y	y	y	y	y	y	n	y	n	n	y	y	n	y
democrat	n	y	y	n	y	y	y	y	n	n	y	n	y	n	y	y
democrat	n	n	y	n	n	y	y	y	y	n	y	n	n	n	y	y
democrat	n	y	y	n	n	y	y	y	y	n	y	n	n	y	y	y
democrat	n	y	y	n	n	w	y	y	y	y	y	n	w	y	y	y
democrat	n	n	y	n	n	n	y	y	n	y	y	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
republican	n	n	n	y	y	y	y	y	n	y	n	y	y	y	n	y
democrat	w	w	w	n	n	n	y	y	y	y	n	n	y	n	y	y
democrat	y	n	y	n	w	n	y	y	y	y	n	y	n	w	y	y
republican	n	n	y	y	y	y	n	n	y	y	n	y	y	y	n	y
democrat	n	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y
republican	n	w	n	y	y	y	n	n	n	n	y	y	y	y	n	y
republican	n	n	n	y	y	y	w	w	w	w	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	w	n
